num_examples,test_group,f1
1,1,0.5555555555555556
1,2,0.3333333333333333
1,3,0.3333333333333333
1,4,0.3157894736842105
1,5,0.0
2,1,0.0
2,2,0.2857142857142857
2,3,0.6666666666666666
2,4,0.15384615384615385
2,5,0.32
3,1,0.631578947368421
3,2,0.0
3,3,0.5333333333333333
3,4,0.5
3,5,0.4166666666666667
4,1,0.47619047619047616
4,2,0.0
4,3,0.42857142857142855
4,4,0.26666666666666666
4,5,0.5
5,1,0.14285714285714285
5,2,0.26666666666666666
5,3,0.18181818181818182
5,4,0.18181818181818182
5,5,0.2857142857142857
6,1,0.2222222222222222
6,2,0.0
6,3,0.6153846153846154
6,4,0.5
6,5,0.2857142857142857
7,1,0.18181818181818182
7,2,0.3333333333333333
7,3,0.0
7,4,0.15384615384615385
7,5,0.2222222222222222
8,1,0.4444444444444444
8,2,0.0
8,3,0.7272727272727273
8,4,0.42105263157894735
8,5,0.3333333333333333
9,1,0.4444444444444444
9,2,0.0
9,3,0.5714285714285714
9,4,0.0
9,5,0.3333333333333333
10,1,0.631578947368421
10,2,0.18181818181818182
10,3,0.5454545454545454
10,4,0.47058823529411764
10,5,0.4444444444444444
